Rank,Compound ID,Compound Name,Target Gene,Target Protein,Vina Affinity (kcal/mol),DiffDock Confidence,Hydrogen Bonds,Hydrophobic Contacts,Validation Priority Score,Preclinical Decision,Evidence Strength
83,eugenol,Eugenol,lasr,LasR (Quorum Sensing Regulon),-4.42,-0.35,0,2,33.1,Review manually,Low preclinical plausibility
84,eugenol,Eugenol,peld,PelD (Biofilm Matrix Regulator),-4.31,-0.35,0,2,32.8,Review manually,Low preclinical plausibility
85,magnoflorine,Magnoflorine,lasr,LasR (Quorum Sensing Regulon),-4.51,-0.42,0,1,30.8,Review manually,Low preclinical plausibility
86,magnoflorine,Magnoflorine,pqsr,PqsR / MvfR (Quorum Sensing),-4.21,-0.42,0,1,29.8,Review manually,Low preclinical plausibility
87,magnoflorine,Magnoflorine,peld,PelD (Biofilm Matrix Regulator),-4.12,-0.42,0,1,29.5,Review manually,Low preclinical plausibility
88,magnoflorine,Magnoflorine,mexb,MexB (Multidrug Efflux Pump),-4.01,-0.42,0,1,29.2,Review manually,Low preclinical plausibility
89,imperatorin,Imperatorin,lasr,LasR (Quorum Sensing Regulon),-4.32,-0.55,0,1,29.1,Review manually,Low preclinical plausibility
90,imperatorin,Imperatorin,pqsr,PqsR / MvfR (Quorum Sensing),-4.12,-0.55,0,1,28.4,Review manually,Low preclinical plausibility
91,imperatorin,Imperatorin,peld,PelD (Biofilm Matrix Regulator),-4.05,-0.55,0,1,28.2,Review manually,Low preclinical plausibility
92,imperatorin,Imperatorin,mexb,MexB (Multidrug Efflux Pump),-3.95,-0.55,0,1,27.9,Review manually,Low preclinical plausibility
93,skimmianine,Skimmianine,lasr,LasR (Quorum Sensing Regulon),-4.11,-0.62,0,1,27.8,Review manually,Low preclinical plausibility
94,skimmianine,Skimmianine,pqsr,PqsR / MvfR (Quorum Sensing),-3.92,-0.62,0,1,27.2,Review manually,Low preclinical plausibility
95,skimmianine,Skimmianine,peld,PelD (Biofilm Matrix Regulator),-3.85,-0.62,0,1,26.9,Review manually,Low preclinical plausibility
96,skimmianine,Skimmianine,mexb,MexB (Multidrug Efflux Pump),-3.72,-0.62,0,1,26.5,Review manually,Low preclinical plausibility
